,edit_count,sentiment,neg_sentiment
2012-08-23,7.6,-0.23866785062506649,0.4162577509636333
2012-08-24,7.666666666666667,-0.26849660270566594,0.44959108429696665
2012-08-25,7.666666666666667,-0.26849660270566594,0.44959108429696665
2012-08-26,7.666666666666667,-0.26849660270566594,0.44959108429696665
2012-08-27,7.733333333333333,-0.29415445122276596,0.4829244176303
2012-08-28,7.8,-0.3273571709111815,0.5162577509636334
2012-08-29,7.833333333333333,-0.29415037625188484,0.5162577509636334
2012-08-30,7.666666666666667,-0.26105183515106495,0.4829244176303
2012-08-31,7.7,-0.2393450099874356,0.47181330651918885
2012-09-01,7.6,-0.2656503589930288,0.47181330651918885
2012-09-02,7.566666666666666,-0.26728214641234793,0.47181330651918885
2012-09-03,7.7,-0.28248997400027037,0.49681330651918887
2012-09-04,7.7,-0.28248997400027037,0.49681330651918887
2012-09-05,8.166666666666666,-0.30735787316102947,0.5092316071727836
2012-09-06,8.1,-0.2879777245780411,0.4981204960616725
2012-09-07,8.366666666666667,-0.29847207874661513,0.5047871627283392
2012-09-08,8.633333333333333,-0.30603677566454646,0.5256204960616725
2012-09-09,8.6,-0.2701934072932187,0.5089538293950059
2012-09-10,9.3,-0.2950531644706322,0.5375252579664345
2012-09-11,9.466666666666667,-0.32828345170462053,0.5708585912997678
2012-09-12,9.566666666666666,-0.3282984492266568,0.5708585912997678
2012-09-13,9.566666666666666,-0.38249551624898037,0.6041919246331011
2012-09-14,4.5,-0.4286166108991534,0.6298999856352798
2012-09-15,4.166666666666667,-0.42485535913167705,0.6132333189686131
2012-09-16,4.0,-0.43018966688174315,0.5998999856352797
2012-09-17,3.7333333333333334,-0.3973675866768589,0.5665666523019464
2012-09-18,3.7,-0.3899063318814665,0.5637888745241686
2012-09-19,3.566666666666667,-0.3707767183428834,0.5387888745241686
2012-09-20,3.533333333333333,-0.3376179451590608,0.5054555411908354
2012-09-21,3.3,-0.34840004296126376,0.5101563958916899
2012-09-22,3.2666666666666666,-0.34867230406425803,0.5101563958916899
2012-09-23,3.3666666666666667,-0.3283497012756508,0.4968230625583566
2012-09-24,3.3666666666666667,-0.3283497012756508,0.4968230625583567
2012-09-25,3.3666666666666667,-0.3283497012756508,0.4968230625583567
2012-09-26,3.3,-0.30269185275855076,0.46348972922502335
2012-09-27,3.3,-0.3022723959984621,0.46348972922502335
2012-09-28,3.2666666666666666,-0.33547919065775883,0.46348972922502335
2012-09-29,9.266666666666667,-0.3320754066542361,0.47682306255835666
2012-09-30,9.866666666666667,-0.32371411760717655,0.47206115779645186
2012-10-01,10.133333333333333,-0.3549300803747776,0.5053944911297852
2012-10-02,10.2,-0.31612049082984556,0.483172268907563
2012-10-03,12.333333333333334,-0.31586960535492997,0.48219187675070024
2012-10-04,12.8,-0.3359248511404161,0.5083823529411765
2012-10-05,15.433333333333334,-0.33370603323796716,0.507422385620915
2012-10-06,16.066666666666666,-0.3238754088545383,0.502349921852799
2012-10-07,16.066666666666666,-0.31886806675439494,0.4990165885194658
2012-10-08,15.9,-0.3444982740314015,0.5115165885194658
2012-10-09,15.9,-0.4094891918729949,0.5448499218527991
2012-10-10,15.366666666666667,-0.3931644145158329,0.5362784932813706
2012-10-11,18.066666666666666,-0.36897165525518216,0.5231001987077272
2012-10-12,18.366666666666667,-0.35049976570256625,0.5135763891839177
2012-10-13,18.433333333333334,-0.3455335663045255,0.5135763891839177
2012-10-14,18.5,-0.3454348583636821,0.5135763891839177
2012-10-15,18.533333333333335,-0.3786046325781088,0.5469097225172509
2012-10-16,18.633333333333333,-0.39151886167971367,0.5691319447394732
2012-10-17,18.633333333333333,-0.39151886167971367,0.5691319447394732
2012-10-18,19.866666666666667,-0.380293012587707,0.5627430558505843
2012-10-19,20.3,-0.38719845261866076,0.5832558763634047
2012-10-20,20.7,-0.3793813082578536,0.5943669874745158
2012-10-21,20.833333333333332,-0.3451632807323757,0.5765892096967381
2012-10-22,20.933333333333334,-0.3451179946133915,0.5765892096967381
2012-10-23,20.866666666666667,-0.3493035527735375,0.5788114319189603
2012-10-24,20.933333333333334,-0.3813983870217624,0.6121447652522937
2012-10-25,21.333333333333332,-0.37917472730107665,0.6260336541411825
2012-10-26,22.466666666666665,-0.38020082009216644,0.6427003208078492
2012-10-27,23.166666666666668,-0.35660642904853107,0.6311061179092985
2012-10-28,23.733333333333334,-0.365065916080019,0.6526747453602789
2012-10-29,17.766666666666666,-0.3435323286706286,0.6393414120269456
2012-10-30,17.066666666666666,-0.3403685397654092,0.6218810945666281
2012-10-31,16.8,-0.3091525769978082,0.5885477612332948
2012-11-01,16.7,-0.3146753506610111,0.5774366501221837
2012-11-02,14.433333333333334,-0.2997184085480043,0.5534170422790464
2012-11-03,13.966666666666667,-0.2796631627625182,0.5272265660885702
2012-11-04,10.766666666666667,-0.26801110468930217,0.5046571216441257
2012-11-05,10.0,-0.2755384943366063,0.493062918745575
2012-11-06,9.666666666666666,-0.2659596939365081,0.47306291874557505
2012-11-07,9.566666666666666,-0.2327647897415703,0.43972958541224166
2012-11-08,9.566666666666666,-0.16707301267120694,0.4063962520789083
2012-11-09,9.433333333333334,-0.1917752755496249,0.41972958541224165
2012-11-10,6.566666666666666,-0.1827377475762872,0.39957454665255177
2012-11-11,6.1,-0.16796020130673417,0.37576502284302793
2012-11-12,6.0,-0.1396255479292012,0.34243168950969455
2012-11-13,5.933333333333334,-0.1397592835329576,0.34243168950969455
2012-11-14,5.9,-0.10658950931853092,0.3090983561763612
2012-11-15,5.833333333333333,-0.12680451731244094,0.32020946728747235
2012-11-16,5.866666666666666,-0.15225655496477453,0.35354280062080573
2012-11-17,4.566666666666666,-0.18463991115847594,0.3710428006208057
2012-11-18,4.2,-0.21104671435071243,0.3838633134413186
2012-11-19,3.8333333333333335,-0.2501084903198469,0.4060855356635408
2012-11-20,3.5,-0.2610311040598142,0.3960855356635407
2012-11-21,3.3666666666666667,-0.2277757082698731,0.3627522023302074
2012-11-22,3.3,-0.24735146704494834,0.3738633134413185
2012-11-23,3.2666666666666666,-0.248479914100765,0.3738633134413185
2012-11-24,2.8666666666666667,-0.25070357382145075,0.3599744245524297
2012-11-25,1.8666666666666667,-0.28290377236896364,0.37664109121909634
2012-11-26,1.1666666666666667,-0.3048536523884418,0.38823529411764707
2012-11-27,0.6666666666666666,-0.3294109821319581,0.4
2012-11-28,0.6333333333333333,-0.354348353544871,0.4
2012-11-29,0.6333333333333333,-0.354348353544871,0.4
2012-11-30,0.6333333333333333,-0.354348353544871,0.4
2012-12-01,0.6333333333333333,-0.354348353544871,0.4
2012-12-02,0.6333333333333333,-0.354348353544871,0.4
2012-12-03,0.6333333333333333,-0.354348353544871,0.4
2012-12-04,0.6666666666666666,-0.387350461880366,0.43333333333333335
2012-12-05,0.7666666666666667,-0.4201749781767527,0.4666666666666667
2012-12-06,0.7666666666666667,-0.4201749781767527,0.4666666666666667
2012-12-07,0.7666666666666667,-0.4201749781767527,0.4666666666666667
2012-12-08,0.7333333333333333,-0.45258007049560545,0.4666666666666667
2012-12-09,0.7,-0.41934282779693605,0.43333333333333335
2012-12-10,0.7,-0.41934282779693605,0.43333333333333335
2012-12-11,0.7,-0.41934282779693605,0.43333333333333335
2012-12-12,0.7,-0.41934282779693605,0.43333333333333335
2012-12-13,0.6666666666666666,-0.3861475884914398,0.4
2012-12-14,0.6666666666666666,-0.3861475884914398,0.4
2012-12-15,0.6333333333333333,-0.3530183513959249,0.36666666666666664
2012-12-16,0.6,-0.3275663137435913,0.3333333333333333
2012-12-17,0.5666666666666667,-0.2942561070124308,0.3
2012-12-18,0.5666666666666667,-0.26739325126012164,0.2833333333333333
2012-12-19,0.5333333333333333,-0.23614861965179443,0.25
2012-12-20,0.6666666666666666,-0.2565767511725426,0.275
2012-12-21,0.7666666666666667,-0.2898515560560756,0.30833333333333335
2012-12-22,0.7333333333333333,-0.2565840898288621,0.275
2012-12-23,0.7333333333333333,-0.2565179803305202,0.275
2012-12-24,0.7333333333333333,-0.2565179803305202,0.275
2012-12-25,0.6,-0.2232916889919175,0.24166666666666667
2012-12-26,0.6333333333333333,-0.20327632278203964,0.23055555555555557
2012-12-27,0.6,-0.1372293914357821,0.19722222222222222
2012-12-28,0.6,-0.1372293914357821,0.19722222222222222
2012-12-29,0.6,-0.1372293914357821,0.19722222222222222
2012-12-30,0.6,-0.1372293914357821,0.19722222222222222
2012-12-31,0.6333333333333333,-0.167258320748806,0.23055555555555554
2013-01-01,0.6666666666666666,-0.20014293442169825,0.2638888888888889
2013-01-02,0.9333333333333333,-0.2093728266656399,0.2847222222222222
2013-01-03,1.7666666666666666,-0.1764115826632732,0.26805555555555555
2013-01-04,2.2,-0.13849695698382,0.24930555555555553
2013-01-05,2.2,-0.13849695698382,0.24930555555555553
2013-01-06,2.2666666666666666,-0.17163037435175518,0.2826388888888889
2013-01-07,2.566666666666667,-0.18352671131343076,0.3048611111111111
2013-01-08,2.6,-0.15102737809072364,0.3048611111111111
2013-01-09,2.6333333333333333,-0.18432905539721675,0.3381944444444444
